ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
stan1293,English,,53.0,-1.0,stan1293,,0,0.0
gyel1242,Gyeli,,2.47457,10.2493,gyel1242,,982,6.889591308354466
und,Undefined,,,,,,,
lati1261,Latin,,41.9026,12.4502,lati1261,,10,2.302585092994046
sanz1248,Sanzhi Dargwa,,,,sanz1248,,1602,7.379008127628304
wara1294,Komnzo,,-8.64917,141.52,wara1294,,572,6.349138991379798
fern1234,Pichi,,3.74,8.78,fern1234,,1024,6.931471805599453
bamu1253,Bamun,,5.49017,10.8477,bamu1253,,1,0.0
toto1304,Totoli,,1.14995,120.875,toto1304,,2,0.6931471805599453
waim1252,Waima'a,,-8.53416,126.317,waim1252,,6,1.791759469228055
nort2671,North Saami,,68.725,22.1113,nort2671,,5,1.6094379124341003
sout2674,South Saami,,62.8801,13.7006,sout2674,,6,1.791759469228055
lule1254,Lule Saami,,67.2759,17.8057,lule1254,,1,0.0
norw1258,Norwegian,,59.92,10.71,norw1258,,6,1.791759469228055
finn1318,Finnish,,64.7628,25.5577,finn1318,,16,2.772588722239781
skol1241,Skolt Saami,,68.8326,29.7204,skol1241,,1,0.0
kild1236,Kildin Saami,,68.2158,35.8348,kild1236,,5,1.6094379124341003
russ1263,Russian,,59.0,50.0,russ1263,,5,1.6094379124341003
sout2789,Dagaare,,10.4226,-2.52265,sout2789,,73,4.290459441148391
japh1234,Japhug,,32.1,102.36,japh1234,,2785,7.932003152361385
ikkk1242,Ik,,3.61407,34.2507,ikkk1242,,165,5.10594547390058
yong1288,Yongning Na,,,,yong1288,,157,5.056245805348308
hunz1247,Hunzib,,42.0808,46.1369,hunz1247,,1,0.0
bezh1248,Bezhta,,42.1206,46.0332,bezh1248,,1,0.0
papu1250,Papuan Malay,,-2.53482,139.651,papu1250,,475,6.163314804034641
chum1261,Chumburung,,8.15211,-0.2755,chum1261,,2,0.6931471805599453
lele1264,Lelemi,,7.34549,0.50746,lele1264,,1,0.0
rapa1244,Rapa Nui,,-27.113,-109.342,rapa1244,,1441,7.273092595999522
ruul1235,Ruruuli,,1.41726,32.4179,ruul1235,,227,5.424950017481403
