04.tex	80	\ipa{[t]}	\UIPA{[t]}
04.tex	80	\ipa{[d]}	\UIPA{[d]}
04.tex	87	\ipa{[fE5"PaXtn]}	\UIPA{[fɛɐˈʔaχtn]}
04.tex	87	\ipa{[fE"\;RaXtn]}	\UIPA{[fɛˈʀaχtn]}
04.tex	87	\ipa{[ve"\;Randa]}	\UIPA{[veˈʀanda]}
04.tex	89	\ipa{[e:]}	\UIPA{[eː]}
04.tex	89	\ipa{[\ae :]}	\UIPA{[æː]}
04.tex	91	\ipa{[r]}	\UIPA{[r]}
04.tex	91	\ipa{[r]}	\UIPA{[r]}
04.tex	91	\ipa{[R]}	\UIPA{[ɾ]}
04.tex	91	\ipa{[\:R]}	\UIPA{[ɻ]}
04.tex	91	\ipa{[K]}	\UIPA{[ʁ]}
04.tex	91	\ipa{[\;R]}	\UIPA{[ʀ]}
04.tex	97	\ipa{[s]}	\UIPA{[s]}
04.tex	97	\ipa{[z]}	\UIPA{[z]}
04.tex	110	\ipa{[an:o]}	\UIPA{[anːo]}
04.tex	110	\ipa{[\~A]}	\UIPA{[̃ɑ]}
04.tex	120	\ipa{\_}	\UIPA{_}
04.tex	120	\ipa{A\ }	\UIPA{ɑ\ }
04.tex	120	\ipa{}	\UIPA{}
04.tex	121	\ipa{-}	\UIPA{-}
04.tex	121	\ipa{\super P\ P\ \super G\ ’\ \super Q\ Q\ }	\UIPA{ˀ\ ʔ\ ˠ\ ʼ\ ˤ\ ʕ\ }
04.tex	121	\ipa{\super h\ \:z\ \super j\ 7\ \;H\ }	\UIPA{ʰ\ ʐ\ ʲ\ ɤ\ ʜ\ }
04.tex	122	\ipa{m}	\UIPA{m}
04.tex	122	\ipa{\~{}\ }	\UIPA{̃\ }
04.tex	122	\ipa{}	\UIPA{}
04.tex	123	\ipa{M}	\UIPA{ɱ}
04.tex	123	\ipa{\~{}\ }	\UIPA{̃\ }
04.tex	123	\ipa{n\ }	\UIPA{n\ }
04.tex	124	\ipa{n}	\UIPA{n}
04.tex	124	\ipa{\textltailn \ \~{}\ \:n\ N\ M\ }	\UIPA{ɲ\ ̃\ ɳ\ ŋ\ ɱ\ }
04.tex	124	\ipa{}	\UIPA{}
04.tex	125	\ipa{\:n}	\UIPA{ɳ}
04.tex	125	\ipa{n\ }	\UIPA{n\ }
04.tex	125	\ipa{}	\UIPA{}
04.tex	126	\ipa{\textltailn }	\UIPA{ɲ}
04.tex	126	\ipa{n\ }	\UIPA{n\ }
04.tex	126	\ipa{}	\UIPA{}
04.tex	127	\ipa{N}	\UIPA{ŋ}
04.tex	127	\ipa{\~{}\ }	\UIPA{̃\ }
04.tex	127	\ipa{n\ g\ }	\UIPA{n\ ɡ\ }
04.tex	128	\ipa{\;N}	\UIPA{ɴ}
04.tex	128	\ipa{}	\UIPA{}
04.tex	129	\ipa{p}	\UIPA{p}
04.tex	129	\ipa{\t{pf}\ }	\UIPA{p͡f\ }
04.tex	129	\ipa{b\ B\ }	\UIPA{b\ β\ }
04.tex	130	\ipa{b}	\UIPA{b}
04.tex	130	\ipa{B\ }	\UIPA{β\ }
04.tex	130	\ipa{p\ w\ V\ }	\UIPA{p\ w\ ʋ\ }
04.tex	131	\ipa{t}	\UIPA{t}
04.tex	131	\ipa{\:t\ c\ T\ D\ }	\UIPA{ʈ\ c\ θ\ ð\ }
04.tex	131	\ipa{d\ \t{tC}\ \t{ts}\ }	\UIPA{d\ t͡ɕ\ t͡s\ }
04.tex	132	\ipa{d}	\UIPA{d}
04.tex	132	\ipa{\textbardotlessj \ D\ \:d\ T\ }	\UIPA{ɟ\ ð\ ɖ\ θ\ }
04.tex	132	\ipa{t\ }	\UIPA{t\ }
04.tex	133	\ipa{\:t}	\UIPA{ʈ}
04.tex	133	\ipa{\:d\ t\ }	\UIPA{ɖ\ t\ }
04.tex	133	\ipa{}	\UIPA{}
04.tex	134	\ipa{\:d}	\UIPA{ɖ}
04.tex	134	\ipa{\:t\ d\ }	\UIPA{ʈ\ d\ }
04.tex	134	\ipa{\:R\ }	\UIPA{ɻ\ }
04.tex	135	\ipa{c}	\UIPA{c}
04.tex	135	\ipa{\t{tC}\ \t{tS}\ t\ S\ }	\UIPA{t͡ɕ\ t͡ʃ\ t\ ʃ\ }
04.tex	135	\ipa{k\ \t{ts}\ \c{c}\ \t{t\:s}\ }	\UIPA{k\ t͡s\ ç\ t͡ʂ\ }
04.tex	136	\ipa{\textbardotlessj }	\UIPA{ɟ}
04.tex	136	\ipa{d\ }	\UIPA{d\ }
04.tex	136	\ipa{g\ \t{dZ}\ j\ -\ }	\UIPA{ɡ\ d͡ʒ\ j\ -\ }
04.tex	137	\ipa{k}	\UIPA{k}
04.tex	137	\ipa{\t{c\c{c}}\ \c{c}\ q\ \;G\ }	\UIPA{c͡ç\ ç\ q\ ɢ\ }
04.tex	137	\ipa{x\ g\ X\ }	\UIPA{x\ ɡ\ χ\ }
04.tex	138	\ipa{g}	\UIPA{ɡ}
04.tex	138	\ipa{G\ H\ \;G\ Q\ \t{\textbardotlessj J}\ \c{c}\ \t{dz}\ h\ }	\UIPA{ɣ\ ɦ\ ɢ\ ʕ\ ɟ͡ʝ\ ç\ d͡z\ h\ }
04.tex	138	\ipa{K\ \textbardotlessj \ k\ N\ \textcrh \ }	\UIPA{ʁ\ ɟ\ k\ ŋ\ ħ\ }
04.tex	139	\ipa{q}	\UIPA{q}
04.tex	139	\ipa{\t{qX}\ X\ G\ \;G\ x\ k\ K\ }	\UIPA{q͡χ\ χ\ ɣ\ ɢ\ x\ k\ ʁ\ }
04.tex	139	\ipa{}	\UIPA{}
04.tex	140	\ipa{\;G}	\UIPA{ɢ}
04.tex	140	\ipa{\textcrh \ g\ q\ k\ x\ }	\UIPA{ħ\ ɡ\ q\ k\ x\ }
04.tex	140	\ipa{}	\UIPA{}
04.tex	141	\ipa{P}	\UIPA{ʔ}
04.tex	141	\ipa{Q\ \super j\ -\ }	\UIPA{ʕ\ ʲ\ -\ }
04.tex	141	\ipa{i\ 6\ }	\UIPA{i\ ɒ\ }
04.tex	142	\ipa{\t{ts}}	\UIPA{t͡s}
04.tex	142	\ipa{\t{tS}\ T\ \t{tC}\ s\ }	\UIPA{t͡ʃ\ θ\ t͡ɕ\ s\ }
04.tex	142	\ipa{z\ }	\UIPA{z\ }
04.tex	143	\ipa{\t{dz}}	\UIPA{d͡z}
04.tex	143	\ipa{z\ -\ }	\UIPA{z\ -\ }
04.tex	143	\ipa{g\ \t{dZ}\ }	\UIPA{ɡ\ d͡ʒ\ }
04.tex	144	\ipa{\t{tS}}	\UIPA{t͡ʃ}
04.tex	144	\ipa{\t{t\:s}\ \t{tC}\ \t{ts}\ T\ c\ C\ S\ \t{dZ}\ }	\UIPA{t͡ʂ\ t͡ɕ\ t͡s\ θ\ c\ ɕ\ ʃ\ d͡ʒ\ }
04.tex	144	\ipa{}	\UIPA{}
04.tex	145	\ipa{\t{dZ}}	\UIPA{d͡ʒ}
04.tex	145	\ipa{Z\ \t{d\textctz}\ j\ \t{tS}\ z\ G\ }	\UIPA{ʒ\ d͡ʑ\ j\ t͡ʃ\ z\ ɣ\ }
04.tex	145	\ipa{\t{dz}\ \textbardotlessj \ d\ }	\UIPA{d͡z\ ɟ\ d\ }
04.tex	146	\ipa{\t{t\:s}}	\UIPA{t͡ʂ}
04.tex	146	\ipa{\t{tS}\ S\ }	\UIPA{t͡ʃ\ ʃ\ }
04.tex	146	\ipa{c\ }	\UIPA{c\ }
04.tex	147	\ipa{\t{tC}}	\UIPA{t͡ɕ}
04.tex	147	\ipa{\t{tS}\ c\ \t{ts}\ S\ C\ }	\UIPA{t͡ʃ\ c\ t͡s\ ʃ\ ɕ\ }
04.tex	147	\ipa{t\ s\ }	\UIPA{t\ s\ }
04.tex	148	\ipa{\t{d\textctz}}	\UIPA{d͡ʑ}
04.tex	148	\ipa{\t{dZ}\ j\ Z\ }	\UIPA{d͡ʒ\ j\ ʒ\ }
04.tex	148	\ipa{}	\UIPA{}
04.tex	149	\ipa{\t{pf}}	\UIPA{p͡f}
04.tex	149	\ipa{p\ }	\UIPA{p\ }
04.tex	149	\ipa{}	\UIPA{}
04.tex	150	\ipa{\t{c\c{c}}}	\UIPA{c͡ç}
04.tex	150	\ipa{k\ }	\UIPA{k\ }
04.tex	150	\ipa{}	\UIPA{}
04.tex	151	\ipa{\t{\textbardotlessj J}}	\UIPA{ɟ͡ʝ}
04.tex	151	\ipa{g\ }	\UIPA{ɡ\ }
04.tex	151	\ipa{}	\UIPA{}
04.tex	152	\ipa{\t{qX}}	\UIPA{q͡χ}
04.tex	152	\ipa{q\ X\ }	\UIPA{q\ χ\ }
04.tex	152	\ipa{K\ }	\UIPA{ʁ\ }
04.tex	153	\ipa{s}	\UIPA{s}
04.tex	153	\ipa{T\ C\ S\ \t{ts}\ z\ }	\UIPA{θ\ ɕ\ ʃ\ t͡s\ z\ }
04.tex	153	\ipa{\:s\ }	\UIPA{ʂ\ }
04.tex	154	\ipa{z}	\UIPA{z}
04.tex	154	\ipa{\textctz \ Z\ \t{dz}\ D\ \t{ts}\ }	\UIPA{ʑ\ ʒ\ d͡z\ ð\ t͡s\ }
04.tex	154	\ipa{s\ \t{dZ}\ }	\UIPA{s\ d͡ʒ\ }
04.tex	155	\ipa{S}	\UIPA{ʃ}
04.tex	155	\ipa{\:s\ C\ \t{tC}\ \t{tS}\ s\ Z\ \t{t\:s}\ }	\UIPA{ʂ\ ɕ\ t͡ɕ\ t͡ʃ\ s\ ʒ\ t͡ʂ\ }
04.tex	155	\ipa{T\ }	\UIPA{θ\ }
04.tex	156	\ipa{Z}	\UIPA{ʒ}
04.tex	156	\ipa{\t{dZ}\ z\ \t{d\textctz}\ S\ }	\UIPA{d͡ʒ\ z\ d͡ʑ\ ʃ\ }
04.tex	156	\ipa{G\ \textctz \ j\ r\ }	\UIPA{ɣ\ ʑ\ j\ r\ }
04.tex	157	\ipa{\:s}	\UIPA{ʂ}
04.tex	157	\ipa{S\ }	\UIPA{ʃ\ }
04.tex	157	\ipa{s\ }	\UIPA{s\ }
04.tex	158	\ipa{\:z}	\UIPA{ʐ}
04.tex	158	\ipa{-\ }	\UIPA{-\ }
04.tex	159	\ipa{C}	\UIPA{ɕ}
04.tex	159	\ipa{S\ s\ \t{tS}\ \t{tC}\ \super j\ }	\UIPA{ʃ\ s\ t͡ʃ\ t͡ɕ\ ʲ\ }
04.tex	159	\ipa{}	\UIPA{}
04.tex	160	\ipa{\textctz }	\UIPA{ʑ}
04.tex	160	\ipa{z\ }	\UIPA{z\ }
04.tex	160	\ipa{\super j\ }	\UIPA{ʲ\ }
04.tex	161	\ipa{F}	\UIPA{ɸ}
04.tex	161	\ipa{f\ }	\UIPA{f\ }
04.tex	161	\ipa{}	\UIPA{}
04.tex	162	\ipa{B}	\UIPA{β}
04.tex	162	\ipa{v\ w\ b\ V\ }	\UIPA{v\ w\ b\ ʋ\ }
04.tex	162	\ipa{\super w\ }	\UIPA{ʷ\ }
04.tex	172	\ipa{f}	\UIPA{f}
04.tex	172	\ipa{F\ }	\UIPA{ɸ\ }
04.tex	172	\ipa{v\ }	\UIPA{v\ }
04.tex	173	\ipa{v}	\UIPA{v}
04.tex	173	\ipa{V\ B\ w\ \super w\ }	\UIPA{ʋ\ β\ w\ ʷ\ }
04.tex	173	\ipa{f\ 0\ }	\UIPA{f\ ʉ\ }
04.tex	174	\ipa{V}	\UIPA{ʋ}
04.tex	174	\ipa{v\ w\ B\ }	\UIPA{v\ w\ β\ }
04.tex	174	\ipa{b\ }	\UIPA{b\ }
04.tex	175	\ipa{T}	\UIPA{θ}
04.tex	175	\ipa{\t{ts}\ \t{tS}\ s\ t\ d\ }	\UIPA{t͡s\ t͡ʃ\ s\ t\ d\ }
04.tex	175	\ipa{S\ }	\UIPA{ʃ\ }
04.tex	176	\ipa{D}	\UIPA{ð}
04.tex	176	\ipa{d\ z\ t\ }	\UIPA{d\ z\ t\ }
04.tex	176	\ipa{\:d\ }	\UIPA{ɖ\ }
04.tex	177	\ipa{\*r}	\UIPA{ɹ}
04.tex	177	\ipa{r\ }	\UIPA{r\ }
04.tex	177	\ipa{R\ }	\UIPA{ɾ\ }
04.tex	178	\ipa{\:R}	\UIPA{ɻ}
04.tex	178	\ipa{}	\UIPA{}
04.tex	179	\ipa{\c{c}}	\UIPA{ç}
04.tex	179	\ipa{k\ x\ g\ }	\UIPA{k\ x\ ɡ\ }
04.tex	179	\ipa{-\ }	\UIPA{-\ }
04.tex	180	\ipa{J}	\UIPA{ʝ}
04.tex	180	\ipa{j\ }	\UIPA{j\ }
04.tex	180	\ipa{-\ }	\UIPA{-\ }
04.tex	181	\ipa{j}	\UIPA{j}
04.tex	181	\ipa{J\ \t{d\textctz}\ \t{dZ}\ \super j\ }	\UIPA{ʝ\ d͡ʑ\ d͡ʒ\ ʲ\ }
04.tex	181	\ipa{I\ Z\ i\ }	\UIPA{ɪ\ ʒ\ i\ }
04.tex	182	\ipa{x}	\UIPA{x}
04.tex	182	\ipa{X\ q\ h\ \textcrh \ \c{c}\ \;G\ }	\UIPA{χ\ q\ h\ ħ\ ç\ ɢ\ }
04.tex	182	\ipa{k\ \super P\ G\ }	\UIPA{k\ ˀ\ ɣ\ }
04.tex	183	\ipa{G}	\UIPA{ɣ}
04.tex	183	\ipa{g\ q\ K\ }	\UIPA{ɡ\ q\ ʁ\ }
